sistemas 2211.88798823 2286.55527217 1731.61366667 1331.42461416 1643.20152551 1054.62579866 1545.86027093 1515.45178153 2160.35233418 989.296625532
zootecnia 0.1070682743 0.107068275 18.1070682466 0.1070682752 0.1070682759 0.1070682754 0.107068279 19.1070682616 0.1070682744 0.1070682768
agricola 50.6650646642 183.820797733 81.5992384606 100.563248512 46.9769590245 85.0656592085 118.802406319 17.8926814604 202.359368204 52.6786726999
mecanica_electrica 1639.8688433 1303.73691926 1094.5215991 2391.1058381 1380.10707393 1057.2316088 1123.76941139 1192.32753118 1462.16772105 1285.72650431
agronomia 327.551852681 361.601134974 225.462579301 227.231738386 119.825510469 132.030240307 224.244313914 365.417735208 472.492093895 348.556455152
pesquera 34.9624109451 109.781793973 27.372668991 0.3747389778 106.955478507 84.1581375466 6.3542839404 0.3747389687 16.2782612671 237.134876383
naval 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
mecatronica 1547.40405799 1272.91157012 1050.30336578 1848.83338696 1223.24085333 1048.5235922 1073.15120958 982.733615737 1445.87582662 1174.87874496
telecomunicaciones 320.554309831 427.991125036 260.50222204 650.809368261 261.170908437 341.691450807 408.597615715 352.833145029 627.978599424 315.921054133
economica 175.100471146 70.4787262169 131.294171775 6.2118643361 25.8643604541 53.5304118935 41.0840667355 185.415414883 275.080090613 8.829176875
electrica 1836.97928155 1354.6005833 1052.1536945 1079.33107725 1011.32826108 1117.91728502 1156.37195306 983.490900913 1260.81992027 1198.08575647
sanitaria 178.892948847 64.1073370849 43.1938141519 91.3114423111 104.664536343 49.8635769442 124.443725477 9.0854711983 43.6462019937 134.14435922
industrial 4376.57297083 4405.60758358 3477.15479849 3081.30678066 3242.83147767 3227.64711434 3091.06366354 3486.3889759 5124.25716414 3581.94095249
quimica 70.6300692331 193.409892826 817.068657083 257.13085392 332.625039824 421.307041581 225.102515579 264.648956641 524.784150775 476.130573109
forestal 5.7971513693 66.5352203735 18.2141365261 0.2141365531 0.2141365549 0.2141365529 49.755508484 30.1475434559 26.3605088371 42.6888867218
minas 218.52319844 275.882943838 282.287149411 352.414906376 195.856764429 136.491577016 168.379474502 190.115256645 176.317903459 231.932432026
civil 970.426914554 1090.12075811 779.51260903 860.273837381 352.492717561 850.305145823 605.888592334 613.170190621 1117.10995401 943.91012307
petroleo 11.3742505807 0.3747389726 11.3747389553 2.3440678086 58.3747389448 22.4412653072 68.668303289 30.9790976929 7.0755992916 70.7405886574
mecanica_fluidos 0.1070682845 7.3052797026 0.1070682868 0.1070682782 4.6522852392 0.1070682792 0.1070682756 26.2331497467 77.2375583462 0.1070682754
ambiental 103.540170564 97.8566792029 277.68313862 171.493335588 328.546366011 384.083451081 213.722623937 252.060133058 319.430578787 481.532518793
geologica 10.056401757 95.4402959653 113.803012053 0.8030120796 129.333167192 95.0319410213 169.369882906 106.483348598 167.029947984 136.679110802
estadistica 146.764270883 80.7285082333 34.3592468703 5.1314021847 129.403893823 114.01798978 40.0551881585 186.617045652 186.419971139 7.9265795613
informatica 2367.39591302 2069.91812715 1919.56206128 1659.02064204 1395.16021584 1227.39204888 1838.75519525 1543.01055986 1943.71125417 1287.09124956
industrias_alimentarias 173.504271151 226.486787875 347.94230716 219.895016814 285.248533355 200.731685843 236.740164356 325.53315077 273.386947663 303.874106583
mecanica 1506.36438955 1256.39341235 881.657273689 1730.02772417 1211.03687592 957.532898465 1013.48421252 838.938711154 1363.76029386 1133.23633533
arquitectura 200.280932093 157.857513676 321.793306821 513.151763996 245.65141356 243.880126788 258.104669143 304.707557991 338.58628901 173.935422564
electronica 1321.05820698 1038.9814017 995.967175276 1421.81653383 893.535622914 994.923173574 869.901683039 868.272933696 1145.03569807 871.162188064
petroquimica 0.1606024129 5.2620597872 134.840716243 65.1606023908 0.1606024153 14.4574511458 39.5343734416 1.7868313716 78.0821824479 0.1606024148
textil 17.4413526937 76.4010581265 61.3212048116 0.3212048374 3.6008485719 42.9663662266 54.2126139601 84.3049892448 0.3212048375 0.3212048326
metalurgica 57.3941515496 117.786993578 153.85191799 173.925456755 101.077720094 77.531702921 96.6914280533 118.813677862 99.7438903178 122.748522593
higiene 8.2390072001 28.2840296603 27.1766806572 17.515139768 45.0192588533 51.6576144278 99.841043073 58.1776917566 172.943992385 119.428273076
